Student ID;Student Country;Question ID;Type of Answer;Question Level;Topic;Subtopic
340;Portugal;77;1;Basic;Statistics;Statistics
697;Portugal;77;1;Basic;Statistics;Statistics
720;Portugal;77;1;Basic;Statistics;Statistics
639;Italy;77;0;Basic;Statistics;Statistics
725;Portugal;78;0;Basic;Statistics;Statistics
690;Portugal;78;0;Basic;Statistics;Statistics
638;Italy;78;0;Basic;Statistics;Statistics
651;Ireland;79;0;Basic;Statistics;Statistics
638;Italy;79;0;Basic;Statistics;Statistics
667;Portugal;81;1;Basic;Statistics;Statistics
638;Italy;81;1;Basic;Statistics;Statistics
1026;Lithuania;82;0;Basic;Differentiation;Derivatives
349;Portugal;82;0;Basic;Differentiation;Derivatives
1564;Portugal;82;0;Basic;Differentiation;Derivatives
411;Portugal;82;0;Basic;Differentiation;Derivatives
750;Portugal;83;0;Basic;Real Functions of a single variable;Domain, Image and Graphics
181;Italy;83;0;Basic;Real Functions of a single variable;Domain, Image and Graphics
1564;Portugal;84;1;Basic;Real Functions of a single variable;Domain, Image and Graphics
181;Italy;84;0;Basic;Real Functions of a single variable;Domain, Image and Graphics
1565;Portugal;85;0;Basic;Real Functions of a single variable;Limits and Continuity
552;Portugal;87;0;Advanced;Real Functions of a single variable;Limits and Continuity
26;Portugal;88;1;Basic;Linear Algebra;Linear Systems
511;Portugal;88;1;Basic;Linear Algebra;Linear Systems
411;Portugal;88;0;Basic;Linear Algebra;Linear Systems
510;Portugal;89;0;Basic;Linear Algebra;Linear Systems
511;Portugal;89;0;Basic;Linear Algebra;Linear Systems
411;Portugal;89;1;Basic;Linear Algebra;Linear Systems
510;Portugal;90;1;Basic;Linear Algebra;Linear Systems
986;Portugal;90;1;Basic;Linear Algebra;Linear Systems
72;Portugal;90;0;Basic;Linear Algebra;Linear Systems
510;Portugal;92;0;Basic;Linear Algebra;Linear Systems
26;Portugal;92;1;Basic;Linear Algebra;Linear Systems
511;Portugal;92;1;Basic;Linear Algebra;Linear Systems
411;Portugal;92;1;Basic;Linear Algebra;Linear Systems
1049;Lithuania;93;0;Basic;Differentiation;Derivatives
352;Portugal;93;0;Basic;Differentiation;Derivatives
165;Portugal;94;1;Basic;Differentiation;Derivatives
918;Portugal;94;1;Basic;Differentiation;Derivatives
411;Portugal;94;0;Basic;Differentiation;Derivatives
178;Italy;94;0;Basic;Differentiation;Derivatives
349;Portugal;95;0;Basic;Differentiation;Derivatives
918;Portugal;95;0;Basic;Differentiation;Derivatives
1049;Lithuania;97;1;Basic;Differentiation;Derivatives
1564;Portugal;97;0;Basic;Differentiation;Derivatives
177;Italy;97;1;Basic;Differentiation;Derivatives
165;Portugal;98;1;Basic;Differentiation;Derivatives
177;Italy;98;0;Basic;Differentiation;Derivatives
1049;Lithuania;100;0;Basic;Differentiation;Derivatives
352;Portugal;100;0;Basic;Differentiation;Derivatives
197;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
1274;Portugal;102;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
1274;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
405;Portugal;104;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
202;Lithuania;108;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
1274;Portugal;108;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
511;Portugal;108;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
1274;Portugal;112;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
511;Portugal;112;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
177;Italy;112;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
510;Portugal;113;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
197;Portugal;113;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
1274;Portugal;113;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
1274;Portugal;114;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
142;Portugal;114;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
131;Lithuania;117;0;Advanced;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
197;Portugal;118;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
1274;Portugal;118;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
511;Portugal;118;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
405;Portugal;118;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
198;Italy;118;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
510;Portugal;120;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
197;Portugal;120;1;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
1274;Portugal;120;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
405;Portugal;120;0;Basic;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
131;Lithuania;121;0;Advanced;Fundamental Mathematics;Algebraic expressions, Equations, and Inequalities
128;Lithuania;122;0;Basic;Linear Algebra;Matrices and Determinants
511;Portugal;122;1;Basic;Linear Algebra;Matrices and Determinants
576;Ireland;123;0;Basic;Linear Algebra;Matrices and Determinants
986;Portugal;123;1;Basic;Linear Algebra;Matrices and Determinants
411;Portugal;123;0;Basic;Linear Algebra;Matrices and Determinants
90;Lithuania;125;0;Basic;Linear Algebra;Matrices and Determinants
128;Lithuania;125;0;Basic;Linear Algebra;Matrices and Determinants
411;Portugal;125;0;Basic;Linear Algebra;Matrices and Determinants
90;Lithuania;126;0;Advanced;Linear Algebra;Matrices and Determinants
415;Portugal;127;0;Basic;Linear Algebra;Matrices and Determinants
411;Portugal;127;0;Basic;Linear Algebra;Matrices and Determinants
90;Lithuania;128;0;Advanced;Linear Algebra;Matrices and Determinants
415;Portugal;128;0;Advanced;Linear Algebra;Matrices and Determinants
510;Portugal;129;0;Basic;Linear Algebra;Matrices and Determinants
90;Lithuania;130;0;Basic;Linear Algebra;Matrices and Determinants
1247;Portugal;130;0;Basic;Linear Algebra;Matrices and Determinants
415;Portugal;131;0;Basic;Linear Algebra;Matrices and Determinants
511;Portugal;131;1;Basic;Linear Algebra;Matrices and Determinants
90;Lithuania;132;0;Advanced;Linear Algebra;Matrices and Determinants
415;Portugal;132;1;Advanced;Linear Algebra;Matrices and Determinants
90;Lithuania;133;0;Advanced;Linear Algebra;Matrices and Determinants
415;Portugal;133;1;Advanced;Linear Algebra;Matrices and Determinants
511;Portugal;134;1;Basic;Linear Algebra;Matrices and Determinants
90;Lithuania;135;0;Basic;Linear Algebra;Matrices and Determinants
415;Portugal;136;0;Basic;Linear Algebra;Matrices and Determinants
511;Portugal;136;1;Basic;Linear Algebra;Matrices and Determinants
411;Portugal;136;0;Basic;Linear Algebra;Matrices and Determinants
128;Lithuania;137;0;Basic;Linear Algebra;Matrices and Determinants
510;Portugal;137;0;Basic;Linear Algebra;Matrices and Determinants
411;Portugal;137;0;Basic;Linear Algebra;Matrices and Determinants
128;Lithuania;138;0;Basic;Linear Algebra;Matrices and Determinants
510;Portugal;138;0;Basic;Linear Algebra;Matrices and Determinants
411;Portugal;138;0;Basic;Linear Algebra;Matrices and Determinants
90;Lithuania;139;0;Advanced;Linear Algebra;Matrices and Determinants
415;Portugal;139;0;Advanced;Linear Algebra;Matrices and Determinants
415;Portugal;140;1;Advanced;Linear Algebra;Matrices and Determinants
128;Lithuania;141;1;Basic;Linear Algebra;Matrices and Determinants
510;Portugal;141;0;Basic;Linear Algebra;Matrices and Determinants
986;Portugal;141;1;Basic;Linear Algebra;Matrices and Determinants
411;Portugal;141;0;Basic;Linear Algebra;Matrices and Determinants
349;Portugal;142;0;Basic;Differentiation;Derivatives
352;Portugal;142;0;Basic;Differentiation;Derivatives
1564;Portugal;142;0;Basic;Differentiation;Derivatives
751;Lithuania;142;0;Basic;Differentiation;Derivatives
177;Italy;143;0;Basic;Differentiation;Derivatives
178;Italy;143;0;Basic;Differentiation;Derivatives
349;Portugal;144;1;Basic;Differentiation;Derivatives
352;Portugal;144;0;Basic;Differentiation;Derivatives
189;Portugal;144;0;Basic;Differentiation;Derivatives
411;Portugal;144;0;Basic;Differentiation;Derivatives
178;Italy;144;0;Basic;Differentiation;Derivatives
189;Portugal;145;0;Basic;Differentiation;Derivatives
552;Portugal;146;0;Basic;Differential Equations;Differential Equations
26;Portugal;146;1;Basic;Differential Equations;Differential Equations
1026;Lithuania;147;0;Basic;Differentiation;Derivatives
165;Portugal;147;0;Basic;Differentiation;Derivatives
349;Portugal;147;0;Basic;Differentiation;Derivatives
178;Italy;147;0;Basic;Differentiation;Derivatives
1037;Lithuania;148;0;Basic;Differentiation;Partial Differentiation
1026;Lithuania;148;0;Basic;Differentiation;Partial Differentiation
1028;Lithuania;148;0;Basic;Differentiation;Partial Differentiation
1049;Lithuania;148;0;Basic;Differentiation;Partial Differentiation
1075;Portugal;148;0;Basic;Differentiation;Partial Differentiation
552;Portugal;156;0;Basic;Differential Equations;Differential Equations
26;Portugal;156;1;Basic;Differential Equations;Differential Equations
26;Portugal;157;1;Basic;Differential Equations;Differential Equations
552;Portugal;159;0;Basic;Differential Equations;Differential Equations
26;Portugal;159;1;Basic;Differential Equations;Differential Equations
411;Portugal;160;0;Basic;Differential Equations;Differential Equations
26;Portugal;165;1;Basic;Differential Equations;Differential Equations
26;Portugal;168;1;Basic;Differential Equations;Differential Equations
712;Portugal;177;0;Basic;Statistics;Statistics
697;Portugal;177;1;Basic;Statistics;Statistics
667;Portugal;177;1;Basic;Statistics;Statistics
638;Italy;177;0;Basic;Statistics;Statistics
639;Italy;177;0;Basic;Statistics;Statistics
697;Portugal;178;1;Basic;Statistics;Statistics
690;Portugal;179;0;Basic;Statistics;Statistics
639;Italy;179;0;Basic;Statistics;Statistics
690;Portugal;180;1;Basic;Statistics;Statistics
638;Italy;180;0;Basic;Statistics;Statistics
712;Portugal;181;0;Basic;Statistics;Statistics
651;Ireland;181;0;Basic;Statistics;Statistics
720;Portugal;181;1;Basic;Statistics;Statistics
690;Portugal;181;0;Basic;Statistics;Statistics
651;Ireland;182;0;Basic;Statistics;Statistics
697;Portugal;182;1;Basic;Statistics;Statistics
639;Italy;182;0;Basic;Statistics;Statistics
667;Portugal;183;1;Basic;Statistics;Statistics
639;Italy;183;1;Basic;Statistics;Statistics
667;Portugal;184;1;Basic;Statistics;Statistics
712;Portugal;185;0;Basic;Statistics;Statistics
651;Ireland;185;1;Basic;Statistics;Statistics
725;Portugal;185;0;Basic;Statistics;Statistics
651;Ireland;186;0;Basic;Statistics;Statistics
720;Portugal;186;1;Basic;Statistics;Statistics
690;Portugal;186;0;Basic;Statistics;Statistics
651;Ireland;187;0;Basic;Statistics;Statistics
725;Portugal;187;0;Basic;Statistics;Statistics
638;Italy;187;0;Basic;Statistics;Statistics
725;Portugal;188;0;Basic;Statistics;Statistics
725;Portugal;189;0;Basic;Statistics;Statistics
725;Portugal;190;0;Basic;Statistics;Statistics
697;Portugal;190;1;Basic;Statistics;Statistics
667;Portugal;190;1;Basic;Statistics;Statistics
712;Portugal;191;0;Basic;Statistics;Statistics
725;Portugal;191;0;Basic;Statistics;Statistics
690;Portugal;191;0;Basic;Statistics;Statistics
639;Italy;191;0;Basic;Statistics;Statistics
918;Portugal;192;0;Basic;Integration;Integration Techniques
411;Portugal;192;0;Basic;Integration;Integration Techniques
720;Portugal;193;1;Basic;Statistics;Statistics
690;Portugal;193;0;Basic;Statistics;Statistics
638;Italy;193;0;Basic;Statistics;Statistics
697;Portugal;201;0;Basic;Statistics;Statistics
712;Portugal;202;0;Basic;Statistics;Statistics
651;Ireland;202;0;Basic;Statistics;Statistics
720;Portugal;202;1;Basic;Statistics;Statistics
667;Portugal;202;1;Basic;Statistics;Statistics
639;Italy;202;0;Basic;Statistics;Statistics
712;Portugal;204;1;Basic;Statistics;Statistics
720;Portugal;204;0;Basic;Statistics;Statistics
667;Portugal;204;1;Basic;Statistics;Statistics
697;Portugal;211;1;Basic;Statistics;Statistics
720;Portugal;211;1;Basic;Statistics;Statistics
26;Portugal;215;1;Basic;Linear Algebra;Linear Systems
511;Portugal;215;1;Basic;Linear Algebra;Linear Systems
26;Portugal;216;1;Basic;Linear Algebra;Linear Systems
511;Portugal;216;0;Basic;Linear Algebra;Linear Systems
510;Portugal;217;0;Basic;Linear Algebra;Linear Systems
26;Portugal;217;1;Basic;Linear Algebra;Linear Systems
511;Portugal;218;1;Basic;Linear Algebra;Linear Systems
510;Portugal;219;0;Basic;Linear Algebra;Linear Systems
510;Portugal;220;0;Basic;Linear Algebra;Linear Systems
26;Portugal;220;1;Basic;Linear Algebra;Linear Systems
511;Portugal;220;1;Basic;Linear Algebra;Linear Systems
510;Portugal;221;0;Basic;Linear Algebra;Linear Systems
26;Portugal;224;1;Basic;Linear Algebra;Linear Systems
511;Portugal;224;1;Basic;Linear Algebra;Linear Systems
510;Portugal;225;0;Basic;Linear Algebra;Linear Systems
511;Portugal;225;1;Basic;Linear Algebra;Linear Systems
411;Portugal;225;0;Basic;Linear Algebra;Linear Systems
510;Portugal;227;0;Basic;Linear Algebra;Linear Systems
511;Portugal;227;1;Basic;Linear Algebra;Linear Systems
511;Portugal;229;1;Basic;Linear Algebra;Linear Systems
411;Portugal;229;1;Basic;Linear Algebra;Linear Systems
511;Portugal;230;1;Basic;Linear Algebra;Linear Systems
26;Portugal;231;0;Basic;Linear Algebra;Linear Systems
576;Ireland;234;0;Basic;Linear Algebra;Linear Systems
511;Portugal;234;1;Basic;Linear Algebra;Linear Systems
576;Ireland;239;0;Basic;Linear Algebra;Linear Systems
511;Portugal;239;1;Basic;Linear Algebra;Linear Systems
411;Portugal;241;0;Basic;Linear Algebra;Linear Systems
411;Portugal;243;1;Basic;Linear Algebra;Linear Systems
511;Portugal;244;1;Basic;Linear Algebra;Linear Systems
511;Portugal;245;1;Basic;Linear Algebra;Linear Systems
349;Portugal;250;1;Basic;Differentiation;Derivatives
189;Portugal;250;0;Basic;Differentiation;Derivatives
1564;Portugal;250;0;Basic;Differentiation;Derivatives
177;Italy;250;0;Basic;Differentiation;Derivatives
178;Italy;250;0;Basic;Differentiation;Derivatives
349;Portugal;252;0;Basic;Differentiation;Derivatives
352;Portugal;252;0;Basic;Differentiation;Derivatives
411;Portugal;252;0;Basic;Differentiation;Derivatives
177;Italy;252;0;Basic;Differentiation;Derivatives
1049;Lithuania;253;0;Basic;Differentiation;Derivatives
177;Italy;254;0;Basic;Differentiation;Derivatives
411;Portugal;255;1;Basic;Differentiation;Derivatives
178;Italy;255;0;Basic;Differentiation;Derivatives
1029;Lithuania;256;0;Basic;Differentiation;Partial Differentiation
1056;Lithuania;256;0;Basic;Differentiation;Partial Differentiation
1037;Lithuania;256;0;Basic;Differentiation;Partial Differentiation
1024;Lithuania;256;0;Basic;Differentiation;Partial Differentiation
1028;Lithuania;257;0;Basic;Differentiation;Partial Differentiation
1032;Lithuania;257;0;Basic;Differentiation;Partial Differentiation
1049;Lithuania;257;1;Basic;Differentiation;Partial Differentiation
1075;Portugal;257;0;Basic;Differentiation;Partial Differentiation
918;Portugal;257;0;Basic;Differentiation;Partial Differentiation
1047;Lithuania;258;0;Basic;Differentiation;Partial Differentiation
1075;Portugal;258;0;Basic;Differentiation;Partial Differentiation
1047;Lithuania;259;1;Basic;Differentiation;Partial Differentiation
918;Portugal;259;1;Basic;Differentiation;Partial Differentiation
1029;Lithuania;260;0;Basic;Differentiation;Partial Differentiation
1037;Lithuania;260;0;Basic;Differentiation;Partial Differentiation
1024;Lithuania;260;0;Basic;Differentiation;Partial Differentiation
1049;Lithuania;260;0;Basic;Differentiation;Partial Differentiation
918;Portugal;260;0;Basic;Differentiation;Partial Differentiation
1050;Lithuania;261;0;Basic;Differentiation;Partial Differentiation
1024;Lithuania;261;0;Basic;Differentiation;Partial Differentiation
1047;Lithuania;261;0;Basic;Differentiation;Partial Differentiation
1049;Lithuania;261;0;Basic;Differentiation;Partial Differentiation
751;Lithuania;261;0;Basic;Differentiation;Partial Differentiation
1029;Lithuania;262;0;Basic;Differentiation;Partial Differentiation
1032;Lithuania;262;0;Basic;Differentiation;Partial Differentiation
1043;Lithuania;262;0;Basic;Differentiation;Partial Differentiation
1050;Lithuania;263;0;Basic;Differentiation;Partial Differentiation
1026;Lithuania;263;0;Basic;Differentiation;Partial Differentiation
1039;Lithuania;264;0;Basic;Differentiation;Partial Differentiation
1029;Lithuania;264;0;Basic;Differentiation;Partial Differentiation
1037;Lithuania;264;0;Basic;Differentiation;Partial Differentiation
1034;Lithuania;264;0;Basic;Differentiation;Partial Differentiation
1043;Lithuania;264;0;Basic;Differentiation;Partial Differentiation
1032;Lithuania;266;0;Basic;Differentiation;Partial Differentiation
1045;Lithuania;266;1;Basic;Differentiation;Partial Differentiation
918;Portugal;266;0;Basic;Differentiation;Partial Differentiation
1029;Lithuania;267;0;Basic;Differentiation;Partial Differentiation
1024;Lithuania;267;0;Basic;Differentiation;Partial Differentiation
1049;Lithuania;267;0;Basic;Differentiation;Partial Differentiation
1050;Lithuania;268;0;Basic;Differentiation;Partial Differentiation
1039;Lithuania;268;0;Basic;Differentiation;Partial Differentiation
1056;Lithuania;268;0;Basic;Differentiation;Partial Differentiation
1037;Lithuania;268;0;Basic;Differentiation;Partial Differentiation
1026;Lithuania;268;0;Basic;Differentiation;Partial Differentiation
1028;Lithuania;268;0;Basic;Differentiation;Partial Differentiation
1045;Lithuania;268;0;Basic;Differentiation;Partial Differentiation
1049;Lithuania;268;0;Basic;Differentiation;Partial Differentiation
918;Portugal;268;0;Basic;Differentiation;Partial Differentiation
1026;Lithuania;269;0;Basic;Differentiation;Partial Differentiation
1049;Lithuania;269;1;Basic;Differentiation;Partial Differentiation
1043;Lithuania;270;0;Basic;Differentiation;Partial Differentiation
1049;Lithuania;270;0;Basic;Differentiation;Partial Differentiation
349;Portugal;271;0;Basic;Differentiation;Derivatives
1564;Portugal;271;0;Basic;Differentiation;Derivatives
411;Portugal;271;0;Basic;Differentiation;Derivatives
349;Portugal;272;0;Basic;Differentiation;Derivatives
352;Portugal;272;1;Basic;Differentiation;Derivatives
189;Portugal;273;0;Basic;Differentiation;Derivatives
918;Portugal;273;1;Basic;Differentiation;Derivatives
349;Portugal;274;0;Basic;Differentiation;Derivatives
189;Portugal;274;0;Basic;Differentiation;Derivatives
1049;Lithuania;275;0;Basic;Differentiation;Derivatives
411;Portugal;275;0;Basic;Differentiation;Derivatives
751;Lithuania;275;0;Basic;Differentiation;Derivatives
178;Italy;275;0;Basic;Differentiation;Derivatives
1143;Portugal;277;1;Basic;Linear Algebra;Linear Transformations
1091;Lithuania;277;1;Basic;Linear Algebra;Linear Transformations
972;Portugal;277;0;Basic;Linear Algebra;Linear Transformations
1182;Portugal;277;0;Basic;Linear Algebra;Linear Transformations
1157;Portugal;277;0;Basic;Linear Algebra;Linear Transformations
1219;Portugal;277;0;Basic;Linear Algebra;Linear Transformations
1146;Portugal;277;0;Basic;Linear Algebra;Linear Transformations
1279;Portugal;277;1;Basic;Linear Algebra;Linear Transformations
1281;Portugal;277;0;Basic;Linear Algebra;Linear Transformations
966;Portugal;277;0;Basic;Linear Algebra;Linear Transformations
986;Portugal;277;1;Basic;Linear Algebra;Linear Transformations
1173;Portugal;277;1;Basic;Linear Algebra;Linear Transformations
899;Lithuania;277;0;Basic;Linear Algebra;Linear Transformations
1324;Italy;277;0;Basic;Linear Algebra;Linear Transformations
1291;Italy;277;1;Basic;Linear Algebra;Linear Transformations
840;Italy;277;1;Basic;Linear Algebra;Linear Transformations
1339;Portugal;278;1;Advanced;Linear Algebra;Linear Transformations
972;Portugal;278;0;Advanced;Linear Algebra;Linear Transformations
1338;Portugal;278;0;Advanced;Linear Algebra;Linear Transformations
986;Portugal;278;0;Advanced;Linear Algebra;Linear Transformations
1146;Portugal;278;0;Advanced;Linear Algebra;Linear Transformations
1277;Portugal;278;1;Advanced;Linear Algebra;Linear Transformations
1420;Portugal;278;1;Advanced;Linear Algebra;Linear Transformations
1427;Portugal;278;1;Advanced;Linear Algebra;Linear Transformations
1077;Portugal;278;0;Advanced;Linear Algebra;Linear Transformations
1334;Portugal;278;0;Advanced;Linear Algebra;Linear Transformations
1428;Portugal;278;1;Advanced;Linear Algebra;Linear Transformations
1308;Italy;278;1;Advanced;Linear Algebra;Linear Transformations
840;Italy;278;1;Advanced;Linear Algebra;Linear Transformations
1022;Lithuania;279;0;Basic;Optimization;Linear Optimization
1022;Lithuania;281;0;Basic;Optimization;Linear Optimization
1525;Portugal;281;0;Basic;Optimization;Linear Optimization
1339;Portugal;287;1;Basic;Linear Algebra;Linear Transformations
956;Portugal;287;0;Basic;Linear Algebra;Linear Transformations
1194;Portugal;287;1;Basic;Linear Algebra;Linear Transformations
1158;Portugal;287;1;Basic;Linear Algebra;Linear Transformations
1157;Portugal;287;0;Basic;Linear Algebra;Linear Transformations
1109;Portugal;287;1;Basic;Linear Algebra;Linear Transformations
1140;Portugal;287;1;Basic;Linear Algebra;Linear Transformations
1146;Portugal;287;0;Basic;Linear Algebra;Linear Transformations
966;Portugal;287;0;Basic;Linear Algebra;Linear Transformations
1173;Portugal;287;0;Basic;Linear Algebra;Linear Transformations
899;Lithuania;287;0;Basic;Linear Algebra;Linear Transformations
955;Lithuania;287;0;Basic;Linear Algebra;Linear Transformations
1324;Italy;287;0;Basic;Linear Algebra;Linear Transformations
1284;Italy;287;0;Basic;Linear Algebra;Linear Transformations
1291;Italy;287;0;Basic;Linear Algebra;Linear Transformations
986;Portugal;288;1;Advanced;Linear Algebra;Linear Transformations
1277;Portugal;288;1;Advanced;Linear Algebra;Linear Transformations
1126;Portugal;288;0;Advanced;Linear Algebra;Linear Transformations
1411;Portugal;288;1;Advanced;Linear Algebra;Linear Transformations
1427;Portugal;288;1;Advanced;Linear Algebra;Linear Transformations
1077;Portugal;288;0;Advanced;Linear Algebra;Linear Transformations
955;Lithuania;288;1;Advanced;Linear Algebra;Linear Transformations
1308;Italy;288;1;Advanced;Linear Algebra;Linear Transformations
72;Portugal;288;0;Advanced;Linear Algebra;Linear Transformations
840;Italy;288;1;Advanced;Linear Algebra;Linear Transformations
972;Portugal;289;0;Advanced;Linear Algebra;Linear Transformations
1338;Portugal;289;0;Advanced;Linear Algebra;Linear Transformations
1150;Portugal;289;0;Advanced;Linear Algebra;Linear Transformations
1146;Portugal;289;0;Advanced;Linear Algebra;Linear Transformations
1126;Portugal;289;1;Advanced;Linear Algebra;Linear Transformations
1420;Portugal;289;1;Advanced;Linear Algebra;Linear Transformations
1353;Portugal;289;1;Advanced;Linear Algebra;Linear Transformations
1308;Italy;289;1;Advanced;Linear Algebra;Linear Transformations
1291;Italy;289;0;Advanced;Linear Algebra;Linear Transformations
72;Portugal;289;0;Advanced;Linear Algebra;Linear Transformations
840;Italy;289;1;Advanced;Linear Algebra;Linear Transformations
1339;Portugal;290;1;Advanced;Linear Algebra;Linear Transformations
1091;Lithuania;290;0;Advanced;Linear Algebra;Linear Transformations
1338;Portugal;290;0;Advanced;Linear Algebra;Linear Transformations
1150;Portugal;290;0;Advanced;Linear Algebra;Linear Transformations
1277;Portugal;290;1;Advanced;Linear Algebra;Linear Transformations
1353;Portugal;290;1;Advanced;Linear Algebra;Linear Transformations
1077;Portugal;290;0;Advanced;Linear Algebra;Linear Transformations
1334;Portugal;290;0;Advanced;Linear Algebra;Linear Transformations
1427;Portugal;290;1;Advanced;Linear Algebra;Linear Transformations
1411;Portugal;290;1;Advanced;Linear Algebra;Linear Transformations
1428;Portugal;290;1;Advanced;Linear Algebra;Linear Transformations
955;Lithuania;290;1;Advanced;Linear Algebra;Linear Transformations
72;Portugal;290;0;Advanced;Linear Algebra;Linear Transformations
840;Italy;290;1;Advanced;Linear Algebra;Linear Transformations
956;Portugal;291;0;Basic;Linear Algebra;Linear Transformations
972;Portugal;291;0;Basic;Linear Algebra;Linear Transformations
1219;Portugal;291;0;Basic;Linear Algebra;Linear Transformations
1146;Portugal;291;0;Basic;Linear Algebra;Linear Transformations
966;Portugal;291;0;Basic;Linear Algebra;Linear Transformations
1077;Portugal;291;1;Basic;Linear Algebra;Linear Transformations
899;Lithuania;291;1;Basic;Linear Algebra;Linear Transformations
1428;Portugal;291;1;Basic;Linear Algebra;Linear Transformations
955;Lithuania;291;1;Basic;Linear Algebra;Linear Transformations
1324;Italy;291;0;Basic;Linear Algebra;Linear Transformations
1284;Italy;291;0;Basic;Linear Algebra;Linear Transformations
1091;Lithuania;292;0;Advanced;Linear Algebra;Linear Transformations
986;Portugal;292;1;Advanced;Linear Algebra;Linear Transformations
1277;Portugal;292;1;Advanced;Linear Algebra;Linear Transformations
1411;Portugal;292;1;Advanced;Linear Algebra;Linear Transformations
1077;Portugal;292;0;Advanced;Linear Algebra;Linear Transformations
955;Lithuania;292;0;Advanced;Linear Algebra;Linear Transformations
1308;Italy;292;1;Advanced;Linear Algebra;Linear Transformations
1291;Italy;292;0;Advanced;Linear Algebra;Linear Transformations
72;Portugal;292;0;Advanced;Linear Algebra;Linear Transformations
